comment,intent,source,confidence,latency_ms,cost_usd,stage
اهوي محتاجك ضروري ممكن صديق يحول من برق الى ماستر كارد الرافدين العراق,Question,gpt-4o-mini,0.95,921.36,2.7e-05,training
اشكرك شرح وافي وبكل وضوح,Praise,gpt-4o-mini,0.95,1016.24,2.5e-05,training
يخي انا معرفت عن هذا مكان ميلاد دخلت كل بنجليزي انا مواليد ف سعوديه وين احصل,Question,gpt-4o-mini,0.95,924.03,2.8e-05,training
سويت كل الخطوات.. ولكن ما جاني طلب بطاقة بلاستيكية!!!!,Complaint,gpt-4o-mini,0.95,716.57,2.6e-05,training
طلع لي اكثر من بطاقة وش افضل بطاقة,Question,gpt-4o-mini,0.95,822.76,2.5e-05,training
ازاي اغير رقم الجوال علي برق,Question,gpt-4o-mini,0.95,815.35,2.5e-05,training
ياخي الله يسعدك ويحفظك ويوفقك يارب حليت ازمه أنا كنت فيها,Praise,gpt-4o-mini,0.95,1332.64,2.7e-05,training
طلبت البطاقة اتيجي امته بالله,Question,gpt-4o-mini,0.95,814.01,2.5e-05,training
انا اول مره عاملو  وطلبت البطاقه اون لاين تيجي بعد كم يوم  بالله,Question,gpt-4o-mini,0.95,720.52,2.7e-05,training
السلام عليكم ورحمة الله وبركاته كيف احل مشكلة تجميد الحساب تواصلت مع خدمة العملاء بدون اي فايده وعملت تذكرة والمشكله لا زالت موجوده تقريبا 20 يوم,Complaint,gpt-4o-mini,0.95,919.15,3e-05,training
برق احاول احاسب داخل السعوديه ماتقبل للاسف,Complaint,gpt-4o-mini,0.95,753.64,2.6e-05,training
طيب العبه ليه ما تطلع عندي,Question,gpt-4o-mini,0.95,821.67,2.5e-05,training
وشلون احول من الفيزا برق الي مدى ؟,Question,gpt-4o-mini,0.95,780.81,2.5e-05,training
عندي بطاقة مدى وبطاقة في ا ، كيف اضيف رصيد للفيزا؟ مايطلع لي الا بطاقة مدى لما اجي اضيف اموال,Question,gpt-4o-mini,0.95,1333.6,2.9e-05,training
لصوص صارلي ٩ ايام محول ماوصلت,Complaint,gpt-4o-mini,0.95,819.8,2.6e-05,training
٩وايام ماوصلت الحواله,Complaint,gpt-4o-mini,0.95,913.16,2.5e-05,training
هل برق مدى اقدر استخدمها خارج المملكه وهل عليها رسوم في السحب او الدفع ؟,Question,gpt-4o-mini,0.95,831.0,2.7e-05,training
الفلوس على التطبيق ولما اعمل تحويل دولي يقول مرفوضة <br>وللحين الفلوس متعلقة عليه ومش عارف اعمل ايه,Complaint,gpt-4o-mini,0.95,1317.82,2.9e-05,training
طلعت البطاقه اذا بشتري يقولي مرفوضة كيفا أفعلها يرحم والديك,Question,gpt-4o-mini,0.95,755.58,2.8e-05,training
يطلع عندي يقول لاحقا من نفسه ليش,Question,gpt-4o-mini,0.95,786.48,2.5e-05,training
السلام عليكم أتمنى ترد عليه أنا وصلتني بطاقة بلاستيكيه  مدى وفيه فلوس فيه بطاقه ثانيه رقميه اللي هي فيزا هل يمديني ادفع منهم الاثنين ؟,Question,gpt-4o-mini,0.95,839.57,3e-05,training
تبع أي بنك,Question,gpt-4o-mini,0.95,784.83,2.4e-05,training
ياجماعه هل كاش باك بلعب الحظ حرام ولا حلال؟,Question,gpt-4o-mini,0.95,921.52,2.7e-05,training
التطبيق سهل وحلو بس تحول الى انجليزي,Suggestion,gpt-4o-mini,0.95,849.49,2.5e-05,training
كيف نحوله الى عربي,Question,gpt-4o-mini,0.95,991.19,2.5e-05,training
هل اقدر أودع فيها فلوس عن طريق مصرف الراجحي,Question,gpt-4o-mini,0.95,1035.8,2.6e-05,training
طيب عندي سؤال ممكن تفيدوني هل بطاقة البرق يوقف مع انتهاء الهوية؟؟  ولا يكون شغال حتى لو الهوية منتهية,Question,gpt-4o-mini,0.95,912.48,2.8e-05,training
طب لو عايز اعرف ازاي احول على كارت ميزه كيف الطريقه,Question,gpt-4o-mini,0.95,855.18,2.7e-05,training
انا بحول للمحفظه يقول الخدمه غير متاحه ايه العمل,Question,gpt-4o-mini,0.95,679.68,2.7e-05,training
ممكن سؤال ينفع ارسلها الي اهلي مصر يسحبون من اابنك الاهاي المصر وياتره الفيزه الي تسحب وله بطاقت مداي,Question,gpt-4o-mini,0.95,759.26,3.2e-05,training
اسؤا خدمه عملاء شفتها ف السعوديه للاسف,Complaint,gpt-4o-mini,0.95,691.09,2.6e-05,training
وش هي البطاقه اللي تفيدني ف السفر مدى او فيزا,Question,gpt-4o-mini,0.95,1419.28,2.6e-05,training
ممكن احد يشرحلي كيف اطلب البطاقة,Question,gpt-4o-mini,0.95,793.71,2.5e-05,training
حولنا ماتصير يروح الطول نبغي اصدار كيف يروح ع طول افيدوني والكم جزيل الشكر,Question,gpt-4o-mini,0.95,730.32,2.8e-05,training
هل بطاقه برق فيهاا ايداع يعني اقدر اروح اي بنك وسوي ايداع ؟,Question,gpt-4o-mini,0.95,720.54,2.7e-05,training
هل بطاقة برق فيزا او مدى عليها رسوم فائدة؟ ولا تعتبر زي بطاقات مسبقة الدفع اشحنها بالرصيد اللي ابغاه بدون مايصير علي فوائد؟ ياليت تفيدوني,Question,gpt-4o-mini,0.95,784.99,3e-05,training
شكرًا,Praise,gpt-4o-mini,0.95,700.99,2.4e-05,training
هل لها صرافات طيب كيف اسجل  وكيف توصلني البطاقه,Question,gpt-4o-mini,0.95,859.51,2.7e-05,training
طيب جربت وفتحت خيار المكافأة فاضي مافيه شي,Complaint,gpt-4o-mini,0.95,819.98,2.6e-05,training
هل لازم احول العملة قبل استخدمها في الخارج ؟ ولا ادفع بالريال ويتم احتساب فرق العمله ؟ة,Question,gpt-4o-mini,0.95,1018.37,2.8e-05,training
طيب بطاقة مدي برق تقبل سحب بمصر ولا برق فيزا فقط,Question,gpt-4o-mini,0.95,1237.11,2.6e-05,training
هههه صدقت برق بدون طابور سجلت وعلى طول طلعت لي البطاقه وطلبت البلاستيكيه وقالوا جايه في الطريق اما البنك التعبان 360 رقم الانتظار فيه 500 الف شخص هههههههههه اتركوه للقلعه,Statement,gpt-4o-mini,0.95,923.4,3.2e-05,training
مافهمت ولا شي ممكن توضح اسم تطبيق رد تكفى,Question,gpt-4o-mini,0.95,828.89,2.6e-05,training
كيف اطلع مدى,Question,gpt-4o-mini,0.95,1066.52,2.4e-05,training
ماطلعلي خيار بطاقة بلاستيكيه واضفتها بالجوال هل اذا حاسبت بالجوال عليها زياده مبلغ ؟!,Question,gpt-4o-mini,0.95,574.36,2.8e-05,training
هل ينفع اودع فيها فلوس من اي مكينه إيداع,Question,gpt-4o-mini,0.95,825.07,2.6e-05,training
سافرت لأوروبا و الامارات و المغرب و قبل بالعيد الي راح و جربت بطاقة d360 الصراحة انها اطلق بطاقة 0 رسوم سحب و 0 عمليات شراء دولية الصراحة بطاقة هي الافضل و يكفي انه بنك d360 تابع لصندوق الاستثمارات العامة يعني بنك قوووووووي ♥️,Praise,gpt-4o-mini,0.95,724.5,3.4e-05,training
وانا اسجل يقولي لازم اوصل لجهات الاتصال وش دخل جهات اتصالي !!!!,Complaint,gpt-4o-mini,0.95,796.47,2.7e-05,training
"ما يجيني رمز التحقق ؟ ‏‪<a href=""https://www.youtube.com/watch?v=zbtyzmnbtsk&amp;t=50"">0:50</a>‬‏",Question,gpt-4o-mini,0.95,896.45,3.2e-05,training
هل اقدر اشتري فيها واسحب كاش برا المملكه بطاقه برق مدى,Question,gpt-4o-mini,0.95,720.97,2.7e-05,training
كم تجلس ايام حتى توصل؟؟,Question,gpt-4o-mini,0.95,922.67,2.5e-05,training
لو سمحت يا غالي عندي استفسار منك ❤ ربي يسعدك .... طلعت بطاقة برق فيزا + مدى بنفس الوقت داخلي وخارجي كلها .... ووصلتني واتبعت طريقة التفعيل ... بس ما قدرت باقي اسحب منها عن طريق شبكة البقالات هل لها وقت تحديث او مثلا ٢٤ ساعة وتشتغل طبيعي,Question,gpt-4o-mini,0.95,814.89,3.7e-05,training
وشكلها نفس اللي معاك بس الفرق ... حقتي في مدى فوق كلمة فيزا يعني ثنائية .... واشتريت منها من قبل استخدمها بالجوال قبل توصل البطاقة نفسها,Statement,gpt-4o-mini,0.95,879.58,3e-05,training
طيب اقدر اطلع بطاقه فيزا من الجوال وكم رسومها؟ وهل منصة ايجار تقبل فيزا,Question,gpt-4o-mini,0.95,786.11,2.8e-05,training
لازم اطلع بطاقه ولا من الجوال عادي,Question,gpt-4o-mini,0.95,1096.97,2.6e-05,training
طيب عندي بطاقه مكتوب عليها مدى و visa وش بعني الثنتين سوا,Question,gpt-4o-mini,0.95,596.35,2.7e-05,training
هل يشتغل هذا التطبيق في اليمن ارجو الرد السريع,Question,gpt-4o-mini,0.95,1087.19,2.6e-05,training
يمديني اقسط منتج على دفعات من تمارا باستخدام بطاقة برق ولألا,Question,gpt-4o-mini,0.95,1041.08,2.7e-05,training
هل تاخذ وقت لين توصل البطاقه البلاستيكيه ؟,Question,gpt-4o-mini,0.95,733.72,2.6e-05,training
طيب ليش تقول صعب تحصل عليها او تطلعها او لحد ماتوصل لها <br><br>ماني فاهم <br><br>إذا كان متاح للجميع فليش الكلام هذا,Question,gpt-4o-mini,0.95,802.95,3e-05,training
كيف نضيف الاموال فى الفيزه,Question,gpt-4o-mini,0.95,1096.69,2.5e-05,training
السلام عليكم <br>لو سمحت انا معاي بطاقة برق وجيت اسحب 1000 جنيه جابلي في مشكله اثناء السحب وتم خصم الفلوس من حسابي بارق والفلوس المصري ما طلعت ايش الحل,Complaint,gpt-4o-mini,0.95,761.96,3.2e-05,training
ماقد جاني 100%,Statement,gpt-4o-mini,0.95,1455.59,2.5e-05,training
هل فيها ميزة دخول اللونجات بالمطار؟,Question,gpt-4o-mini,0.95,822.72,2.5e-05,training
كيف أضيف رصيد في بطاقه برق رمز الريال الالكترونيه,Question,gpt-4o-mini,0.95,807.56,2.6e-05,training
ما عرفت اطلع البطاقة البلاستيكية,Question,gpt-4o-mini,0.95,902.01,2.5e-05,training
المكافآت ٤ محاولات كلها بالهلل على مين تلعبها,Question,gpt-4o-mini,0.95,1643.79,2.7e-05,training
اش الفرق بينهم وبين بطاقة البنك اللي بالراجحي ولا الاهلي !؟؟,Question,gpt-4o-mini,0.95,891.09,2.6e-05,training
الحساب تحظر عايز حل,Complaint,gpt-4o-mini,0.95,845.24,2.5e-05,training
هل بطاقة فيزا برق أقدر أحاسب فيها عمليات الشراء الإلكترونية و حجوزات الطيران اللي تطلب فيزا ؟,Question,gpt-4o-mini,0.95,920.4,2.8e-05,training
ماتطلع لي عقب ما اسوي كل الخطوات   مايقولي طلب البطاقه البلاستيكيه,Complaint,gpt-4o-mini,0.95,717.07,2.7e-05,training
تقريبا انا عملت الأولى اللي هي الرمز السعودي و دي مفيش منها بلاستيكية و النوعين الباقيين برق و مدي هما اللي فيهم بلاستيكية و  الله اعلم.,Statement,gpt-4o-mini,0.95,1124.68,3e-05,training
كيف اطلب البطاقه البلاستيكيه اضفت بطاقه الكترونيه من زمان و ماطلعت لي خانه البطاقه البلاستيكيه,Question,gpt-4o-mini,0.95,926.57,2.9e-05,training
حراميه سرقو فلوسي انتبهو,Complaint,gpt-4o-mini,0.95,675.72,2.5e-05,training
لازم احط الهويه يعني يوم احول لي احد يبان اسمي ؟ ما اقدر اغير اسمي من البرنامج,Question,gpt-4o-mini,0.95,749.93,2.8e-05,training
السلام عليكم فين البنك ليهم في السعوديه لمي اتمكن من ادع الفلوس او عادي اوضع في اي بنك,Question,gpt-4o-mini,0.95,818.14,2.8e-05,training
ابسألك عن حساب سنابل للادخار من بنك d360,Question,gpt-4o-mini,0.95,832.14,2.6e-05,training
👁,Statement,gpt-4o-mini,0.95,943.82,2.7e-05,training
ليش الحوالة ما تصل؟ هل وجود حل لهذه المشكلة,Question,gpt-4o-mini,0.95,680.01,2.6e-05,training
هل اقدر اضيف اموال في البطاقه عبر الصرافه,Question,gpt-4o-mini,0.95,920.91,2.6e-05,training
جدا تطبيق رائع سرعه مصداقيه تحويل دولي مجاني شبكه يدفع كل شيء بكل سهول حتى اعطوني فلوس استغربت <br>ذولي لي يقولون سرقوني كيف صار الدعم متجاوب جدا جدا <br>شكرا برق,Praise,gpt-4o-mini,0.95,1064.98,3.2e-05,training
كم رمز ‏‪دعوه من صديق,Question,gpt-4o-mini,0.95,715.33,2.5e-05,training
طيب لو طلعت بطاقه بلاستيكيه يمديني بعدها اضيفها في ابل باي ؟؟,Question,gpt-4o-mini,0.95,681.91,2.7e-05,training
عندي سوال دحين لو طلعت فيزا مدى يمديني استعملها ف اي دولة ؟؟,Question,gpt-4o-mini,0.95,949.23,2.7e-05,training
ان شاء الله ينزلون فيزا ❤❤انفنت فرسان منافسة ❤❤,Statement,gpt-4o-mini,0.95,1294.07,2.7e-05,training
انامايطلعلي لطلب البطاقه البلاستيكيه يطلع حسن تجربتك مع بطاقة برق<br>تحتها لاحقا بس,Question,gpt-4o-mini,0.95,922.01,2.8e-05,training
هل هناك بطاقة بلاستيكية للبطاقة الي عليها شعار الريال ؟؟؟؟؟,Question,gpt-4o-mini,0.95,793.19,2.6e-05,training
كيف يعني بدون طابور؟,Question,gpt-4o-mini,0.95,1163.24,2.5e-05,training
طيب مدى برق اقدر اسحب بيها خارج المملكة؟؟,Question,gpt-4o-mini,0.95,1007.82,2.6e-05,training
هل اقدر استخدم مدى برق في مصر و اسحب بيها و ما تاخذ عمولة او رسوم سحب,Question,gpt-4o-mini,0.95,1125.83,2.7e-05,training
إذا أحد جربها في دول الخليج بالسحب من جهاز الصراف يعطينا العلم ؟,Question,gpt-4o-mini,0.95,5642.54,2.7e-05,training
ياغالي مدى رش انتهت من فتره انا استخدم يطاقات برق حاليا بطاقة اساسيه فقط الكاش باك على عمليات الفيزا.,Statement,gpt-4o-mini,0.95,782.83,2.9e-05,training
طيب اذا سافرت كيف احول العمله ؟ من التطبيق,Question,gpt-4o-mini,0.95,974.96,2.6e-05,training
اسم البنك الخاص ببرق,Question,gpt-4o-mini,0.95,998.59,2.5e-05,training
هو ليه مش قابل فى رقم الهاتف غير 10ارقان فقط ومش عارف اسجل للسبب ده اى المشكله بالضبط,Question,gpt-4o-mini,0.95,720.36,2.8e-05,training
ماشاء الله شرح كافي ووافي وسلس الله يوفقك,Praise,gpt-4o-mini,0.95,833.81,2.6e-05,training
طيب ابغى اغير رقم الجوال بشريحة ثانيه كيف الطريقه,Question,gpt-4o-mini,0.95,811.68,2.6e-05,training
طيب كم اقدر استقبل مبلغ في برق واحول من برق على حساب ايبان سعودي,Question,gpt-4o-mini,0.95,1078.31,2.7e-05,training
عندي البطاقة ما يحاسب في المحل فيها رصيد,Statement,gpt-4o-mini,0.95,742.14,2.6e-05,training
هل يمكن للمصري أن يحصل على هذه البطاقة ؟.,Question,gpt-4o-mini,0.95,765.36,2.5e-05,training
طريقة تجديدها كيف؟,Question,gpt-4o-mini,0.95,672.45,2.5e-05,training
السلام عليكم مافي مكان او بنك اروح اطلعها منو افضل,Question,gpt-4o-mini,0.95,832.99,2.6e-05,training
هل بطاقة برق فيزا فيها مبلغ او انت تحول عليها مبلغ,Question,gpt-4o-mini,0.95,808.59,2.6e-05,training
اقدر اسحب بيها في مصر,Question,gpt-4o-mini,0.95,905.23,2.5e-05,training
نصيحه لاتحولون منهم مايوصل الحواله إلا بعد يوم او يومين حصلت معي كثير,Suggestion,gpt-4o-mini,0.95,840.65,2.7e-05,training
وصلتني البطاقه  وادخل التطبيق مو طالع لي سؤال إذا استلمت ولا ولمن اسوي تنشيط وأقرب الجوال للبطاقه يقولي يرجى التحقق من انك طلبت البطاقه شسوي؟,Question,gpt-4o-mini,0.95,748.57,3.2e-05,training
كم يوم ياخذ من الطلب,Question,gpt-4o-mini,0.95,639.44,2.5e-05,training
ماقدرت اطلب البطاقة البلاستيكية مالقيت هالخيار,Complaint,gpt-4o-mini,0.95,737.87,2.6e-05,training
الموسيقى ذنب جاري مالها داعي,Complaint,gpt-4o-mini,0.95,838.58,2.5e-05,training
جاتني بعد عشره ايام هل قدر سحب ويدع للصرفه ام شراء فقط,Question,gpt-4o-mini,0.95,909.48,2.7e-05,training
يوصلوها لك الى موقعك او كيف😊,Question,gpt-4o-mini,0.95,688.43,2.5e-05,training
سىء في تحويل الدولي,Complaint,gpt-4o-mini,0.95,744.79,2.5e-05,training
هل هوا ظروري ان اكون مقيم ولا عادي,Question,gpt-4o-mini,0.95,789.6,2.6e-05,training
نصيحه لحد يستخدمها محول ٤٠٠٠ ريال ولي ٢٠ يوم م وصلت,Complaint,gpt-4o-mini,0.95,768.71,2.7e-05,training
ياغالي عندي ما يطلع خيار طلب البطاقه البلاستيكيه,Question,gpt-4o-mini,0.95,785.11,2.6e-05,training
تطبيق فاشل مشكله من زمان ماعرفتو تحلوها خيار طلب البطاقه البلاستيكية فيه مشكله مايضهر حلووو المشكله او سكرو التطبيق,Complaint,gpt-4o-mini,0.95,657.49,3e-05,training
طب انا نزلت البرنامج وكل ما اجي اسجل دخول يقول احضر رمز الدعوه من اصدقائك وانا مش عندي اصدقاء فاتحين برق,Complaint,gpt-4o-mini,0.95,782.2,2.9e-05,training
طب انا منزل تطبيق برق بيقول لازم ادخل رمز الدعوه وانا مش عارف اجيب رمز الدعوه,Question,gpt-4o-mini,0.95,788.03,2.7e-05,training
لا تعمل عند الشراء تيجى مرفوضه,Complaint,gpt-4o-mini,0.95,789.38,2.6e-05,training
الله يجزاك خير ويجعله بميزان حسناتك,Praise,gpt-4o-mini,0.95,1289.17,2.6e-05,training
خيار البطاقات البلاستيكه غير مفعل حاليا. وهذى كارثه .اصلا ما فتحنا المحفظه الا للحصول على البطاقه البلاستيكه للسحب والشراء خلال السفر,Complaint,gpt-4o-mini,0.95,844.07,3.3e-05,training
هل مدى فيها كاش باك,Question,gpt-4o-mini,0.95,1529.68,2.5e-05,training
طلبتها من التطبيق لكن كيف ما حدا تواصل معى لكى اطلبها,Complaint,gpt-4o-mini,0.95,913.42,2.7e-05,training
تقدر تستخدمها في البقالات والعيادات والمنتجات والمطاعم واماكن السياحة,Statement,gpt-4o-mini,0.95,6838.64,2.7e-05,training
كيف يفعلو الشراء من التطبيق  مارضت تتفعل الايقونه <br>ملاحظه البطاقه ماقد وصلت,Question,gpt-4o-mini,0.95,912.83,2.8e-05,training
طيب والعلم السعودي كيف اغيرو ساكنه بالاردن,Question,gpt-4o-mini,0.95,648.74,2.6e-05,training
اتوقع ماخذين عمولة تحويل العملة البنك نفسه<br>لان ٤٠٠٠ جنية بـ ٣٠٣ريال و٩٨هلله,Statement,gpt-4o-mini,0.95,827.95,2.9e-05,training
لما حولت من حسابي البنكي لحسابي ببرق اكتشفت ان حسابي ببرق مش بأسمى كيف ؟,Question,gpt-4o-mini,0.95,861.15,2.8e-05,training
لما اجيت اضيف يول يرجالاتصال علا العملا,Statement,gpt-4o-mini,0.95,945.73,2.6e-05,training
وانا يقول الرقم غلط,Complaint,gpt-4o-mini,0.95,924.53,2.5e-05,training
تقدر  تحاسب فيها  المحلات والمطاعم<br>ارجو    الرد       ❤😊,Question,gpt-4o-mini,0.95,1130.7,2.7e-05,training
انا عندي البطاقة الرقمية .. لكن ما لقيت طلب البطاقة البلاستيكية . كيف الطريقة ؟ هل لاني طلب بطاقة الريال ؟ ولا عادي كلها واحد,Question,gpt-4o-mini,0.95,808.44,2.9e-05,training
انا طلبتها من اسبوع ولم تصلنا وفي وصلت في بعد فتره من الان ونا قد غيرت موقعي كيف اتصرف حينها لحتى توصل لي للموقع الجديد الذي انتقلت اليه,Question,gpt-4o-mini,0.95,682.17,3e-05,training
لا تحلف <br>مايخذون عموله برق <br>بس مثل تايلند على كل عملية حسب ياخذون 25 ريال تحويل عمله,Statement,gpt-4o-mini,0.95,751.62,2.9e-05,training
في خيارت هل انت خاضع للرسوم الدولية وش اختار <br>فيه خيار ( نعم ) وفيه خيار ( لا ),Question,gpt-4o-mini,0.95,1242.87,2.8e-05,training
طلبت بطاقه برق مكتوب عليها ريال بس ما وصلتني رغم اني استخدمها عادي من ابل باي,Complaint,gpt-4o-mini,0.95,770.75,2.8e-05,training
جمدو حسابي عشان دخلت من جوالين وللحين مافتح وفلوسس كلها فيه وش اسوي؟؟؟,Complaint,gpt-4o-mini,0.95,747.09,2.8e-05,training
اقدر استخدمه برا المملكه ؟,Question,gpt-4o-mini,0.95,818.32,2.5e-05,training
ممكن اعرف اذا الشريحة الالكترونية تشتغل برا حسب الدولة اللي اخترتها تمام او لا,Question,gpt-4o-mini,0.95,1476.9,2.7e-05,training
اقسم بالله انهم كذابين وحراميه شريت ايفون ب 5200 قبل فتره و لفيت العجله و اعطاني اقل شي صارت معي اكثر من مره دائماً اذا المبلغ عالي يعطوني اقل نسبه للكاش باك و مافيه ولا مره جاني 100% كاش باك العجله حقتهم مبرمجينها على مزاجهم و مستحيل يرجعون لك فلوسك الي دفعتها كامله كل شي تمت برمجته من قبل هالتطبيق الحرامي ولا راح تاخذها ابداً فقط لجذب الناس ورفع تطبيقهم السيئ و الدعم حقهم تكلمهم مايردون عليك ابد يقول جاري نقلك ويسحبون عليك ولا فيه احد يرد,Complaint,gpt-4o-mini,0.95,1017.93,5.1e-05,training
كم سعر الصرف؟؟,Question,gpt-4o-mini,0.95,677.24,2.5e-05,training
ياصاحب الفديو انت خسران ٢٦ ريال<br>شوف سعر الصرف ١٣ و٤٠ هلله <br>...لوالمقطع مو  جديد مو قديم,Complaint,gpt-4o-mini,0.95,919.6,3.2e-05,training
اذا بدفع عن طريق البطاقة هل البنك الدولي ياخذ نسبة؟ لانه برق ماتاخذ بس كيف البنوك الدولية؟كم تاخذ عالدفع بالبطاقة؟,Question,gpt-4o-mini,0.95,928.66,2.9e-05,training
بطاقة مدى يمديني استخدمها سحب ومشتريات؟,Question,gpt-4o-mini,0.95,949.06,2.6e-05,training
بنك الاهلي المصري والبنك المصري ماياخذ عمولة فالمقطع صحيح برق تسحب بدون عمولة بس غير البنكين ذولي ياخذو عمولة البنك نفسه نفس اللي المقطع البنك ذا ماخذ عليك عمولة البنك نفسه,Statement,gpt-4o-mini,0.95,678.28,3.1e-05,training
تدخل صالات مطار  فيزا برق,Statement,gpt-4o-mini,0.95,821.57,2.5e-05,training
كيف اودع فيها فلوس اذا كانت بلاستيكيه,Question,gpt-4o-mini,0.95,1069.53,2.6e-05,training
كيف اضيف فيها فلوس,Question,gpt-4o-mini,0.95,814.61,2.5e-05,training
افضل بطاقه استخدمتها بجميع الدول روووعه والله من سوى هالبطاقه سوا خير فالناس,Praise,gpt-4o-mini,0.95,817.79,2.8e-05,training
عزالله صدقت الله يجزى من سواها لنا خير,Praise,gpt-4o-mini,0.95,720.32,2.6e-05,training
❤️,Praise,gpt-4o-mini,0.95,920.07,2.4e-05,training
طلعت بطاقه رقميه بس ما  طلع معي اصدار بطاقه بلاستيكيه ليش,Question,gpt-4o-mini,0.95,790.0,2.8e-05,training
يقلي الرجاء ادخال هوية صالحة,Complaint,gpt-4o-mini,0.95,792.73,2.5e-05,training
سلام عليكم كيفك اخبارك طيب ولي عليه تنفيذ يسحبو من حسابك ايقاف خدمات,Question,gpt-4o-mini,0.95,821.54,2.7e-05,training
انا لو حولت فيها عشر الاف وسافرت اذربيجان هل استطيع اسحب ببطاقة برق هناك من اي صراف في اذربيجان ولا لها صرافات معينه,Question,gpt-4o-mini,0.95,667.85,3e-05,training
مافيه بطاقة بالاستكيه,Statement,gpt-4o-mini,0.95,782.84,2.5e-05,training
وش الفايده من البطاقه,Question,gpt-4o-mini,0.95,851.73,2.5e-05,training
كيف  اخلي اي  تحويل من الراجحي من شخص ما  لبطاقه برق موراضي يضبط,Question,gpt-4o-mini,0.95,654.04,2.8e-05,training
بطاقة الانصال الرقميه كيف,Question,gpt-4o-mini,0.95,746.7,2.5e-05,training
ليش مايمدي اضيف مدى طالع ليي بس فيزا,Question,gpt-4o-mini,0.95,793.46,2.6e-05,training
طيب هل يجوز الكاش باك فيها؟؟؟,Question,gpt-4o-mini,0.95,822.2,2.5e-05,training
ما اتكلم عن السحب، عمليات الشراء من برا ياخذون رسوم تحويل عمله وفيزا؟,Question,gpt-4o-mini,0.95,828.81,2.7e-05,training
يااخي في ثلاث بطايق من برق ايت افضل واحدة من الثلاث,Question,gpt-4o-mini,0.95,926.38,2.6e-05,training
شرح مختصر ومفهوم 🎉🎉الله يعطيك العافيه,Praise,gpt-4o-mini,0.95,1070.28,2.6e-05,training
الي فيها علامه الريال مافيها خيار البلاستيكية الى تاريخ اليوم - الي يحتاج البلاستيكية يطلب العادية,Statement,gpt-4o-mini,0.95,788.58,2.8e-05,training
وش السالفه ناس تقول تاخذ عموله وناس تقول لا <br>بس نرجع ونقول الكاش اطلق شي <br>وبدل عملتك في الدوله الي تروح لها .,Question,gpt-4o-mini,0.95,708.34,3e-05,training
ينفع اطلب الاثنين مدي وفيزا .<br>وهل مجاني حقها,Question,gpt-4o-mini,0.95,785.21,2.7e-05,training
كيف افعلها خارج السعوديه,Question,gpt-4o-mini,0.95,712.37,2.5e-05,training
افضل بنك لتحويل العملات في تركيا ايش ؟,Question,gpt-4o-mini,0.95,916.42,2.5e-05,training
السلام عليكم ورحمة الله وبركاته بطاقة مدى برق هل يمكن استخدامها خارج السعودية سحب فلوس وشراء من البطاقه,Question,gpt-4o-mini,0.95,923.46,2.7e-05,training
انا ذحين ما عندي زي الايفون انا كل ما خشيت البطاقه احول ادفع لكن ما تندفع ايش السبب,Question,gpt-4o-mini,0.95,922.16,2.8e-05,training
يا جماعة الخير حولت على برق عشر مرات مش عايزة تظهر عندى الكاش باك حد مر بنفس التجربة,Question,gpt-4o-mini,0.95,807.67,2.8e-05,training
انا ما يطلع لي خيار طلب البطاقة البلاستيكيه وش الحل يطلع لي لاحقاً فقط,Question,gpt-4o-mini,0.95,830.56,2.7e-05,training
اللي عليه ايقاف خدمات يقدر يحول لها عادي؟؟,Question,gpt-4o-mini,0.95,910.34,2.6e-05,training
برق على كلام ناس أستعملتها يعني . أنا استخدمت ٣٦٠ جامده الحمدلله أموري طيبه والسيفتي فيها أوكي الموقع مايعلق التحويل والإسترجاع بنفس الوقت مايتأخر . بس السحب الدولي للأسف خذوا مني عموله قويه مع أني كنت ضامن أنها بدون رسوم . تسوق ولا أحلى بدون مشاكل,Statement,gpt-4o-mini,0.95,864.11,3.8e-05,training
بالله عيب التطبيل والله انهم فاشلين برق مافيه عندهم خدمة عملاء واذا ماحد مصدق اتصل عليهم اذا ردو عليك اطبل لهم,Complaint,gpt-4o-mini,0.95,1146.77,3e-05,training
سويت حساب جديد يقلي طلبك قيد الانتظار لها دحين يوم كامل وش الحل,Question,gpt-4o-mini,0.95,845.17,2.7e-05,training
السلام عليكم ورحمة الله وبركاته<br>هل عند طلب البطاقه البلاستيكيه من برق بيكون فيه رسوم توصيل,Question,gpt-4o-mini,0.95,834.14,2.8e-05,training
السلام عليكم ورحمة الله وبركاته<br>هل توصيلها مجاني,Question,gpt-4o-mini,0.95,4436.35,2.6e-05,training
ما شا الله شرح وافي و كافي كل الشكر و التقدير لك و أقترح على شركة برق اضافة شرحك المتكامل إلى حساباتهم 👏🏼👏🏼👏🏼👌🏻,Praise,gpt-4o-mini,0.95,832.83,3e-05,training
صراحه جباره المدى هذي مسويها اكترونيه والاحسن التحويل بدون ضرايب حول لمصر لوين ماتبي كله مجاني الراجحي يخي ضريبته ١٧ ريال على مصر اما برق مجاني وحتى تحويل رصيد على الشرايح الدوليه ارخص بكثير من مواقع ثانيه,Praise,gpt-4o-mini,0.95,877.05,3.4e-05,training
طيب كيف تعبيها دولار او ريال مثلا سافرت اندونيسيا اسحب بعملة البلد اللي مسافر لها حتى لو فيها ريال او دولار ماني فاهم,Question,gpt-4o-mini,0.95,690.5,2.9e-05,training
